roomid,roomname,surface,wall-length,wall-height,area,boundary,level
8,Inkomhal,facade-E,1.724666667,3,,vertical-outside,Ground
7,Woonkamer,facade-E,4.714666667,3,,vertical-outside,Ground
3,Slaapkamer1,facade-E,4.905333333,3,,vertical-outside,First
5,Badkamer,facade-E,2.028,3,,vertical-outside,First
1,Slaapkamer3,facade-N,2.114666667,3,,vertical-outside,First
2,Slaapkamer2,facade-N,2.114666667,3,,vertical-outside,First
7,Woonkamer,facade-N,5.702666667,3,,vertical-outside,Ground
6,Keuken,facade-N,2.097333333,3,,vertical-outside,Ground
3,Slaapkamer1,facade-N,1.837333333,3,,vertical-outside,First
5,Badkamer,facade-S,2.964,3,,vertical-outside,First
9,Wasplaats,facade-S,2.097333333,3,,vertical-outside,Ground
8,Inkomhal,facade-S,3.969333333,3,,vertical-outside,Ground
10,WC,facade-S,1.733333333,3,,vertical-outside,Ground
4,NachtHal,facade-W,5.512,3,,vertical-outside,First
9,Wasplaats,facade-W,2.868666667,3,,vertical-outside,Ground
5,Badkamer,facade-W,2.028,3,,vertical-outside,First
1,Slaapkamer3,facade-W,3.553333333,3,,vertical-outside,First
6,Keuken,facade-W,3.579333333,3,,vertical-outside,Ground
9,Wasplaats,facade-ground,-,-,8,zero-pressure,Ground
8,Inkomhal,facade-ground,-,-,12,zero-pressure,Ground
6,Keuken,facade-ground,-,-,10,zero-pressure,Ground
7,Woonkamer,facade-ground,-,-,35,zero-pressure,Ground
10,WC,facade-ground,-,-,2,zero-pressure,Ground
4,NachtHal,facade-roof,-,-,12,flat-outside,First
2,Slaapkamer2,facade-roof,-,-,10,flat-outside,First
5,Badkamer,facade-roof,-,-,8,flat-outside,First
1,Slaapkamer3,facade-roof,-,-,10,flat-outside,First
3,Slaapkamer1,facade-roof,-,-,12,flat-outside,First
6,Keuken,floor-area,-,-,10,-,Ground
7,Woonkamer,floor-area,-,-,35,-,Ground
3,Slaapkamer1,floor-area,-,-,12,-,First
8,Inkomhal,floor-area,-,-,12,-,Ground
2,Slaapkamer2,floor-area,-,-,10,-,First
4,NachtHal,floor-area,-,-,12,-,First
9,Wasplaats,floor-area,-,-,8,-,Ground
5,Badkamer,floor-area,-,-,8,-,First
10,WC,floor-area,-,-,2,-,Ground
1,Slaapkamer3,floor-area,-,-,10,-,First
